57.25	46.7	NAN	
57.5	46	NAN	
57.75	46	NAN	
58	46	NAN	
58.25	46	NAN	
58.5	46	NAN	
58.75	46	NAN	
59	46	NAN	
59.25	46	NAN	
59.5	46	NAN	
59.75	46	NAN	
60	46	NAN	
60.25	46.7	NAN	
60.5	46.7	NAN	
60.75	46.7	NAN	
61	46.7	NAN	
61.25	46.7	NAN	
61.5	46.7	NAN	
61.75	46.7	NAN	
62	46.7	NAN	
62.25	46.7	NAN	
62.5	46.7	NAN	
62.75	47.3	NAN	
63	48.6	NAN	
63.25	48.6	NAN	
63.5	48.6	NAN	
63.75	48.6	NAN	
64	48.6	NAN	
64.25	48.6	NAN	
64.5	48.6	NAN	
64.75	48.6	NAN	
65	48.6	NAN	
65.25	48.6	NAN	
65.5	48.6	NAN	
65.75	48.6	NAN	
66	48.6	NAN	
66.25	48.6	NAN	
66.5	48.6	NAN	
66.75	46.7	NAN	
67	46.7	NAN	
67.25	46.7	NAN	
67.5	46	NAN	
67.75	46	NAN	
68	46	NAN	
68.25	46	NAN	
68.5	46	NAN	
68.75	46	NAN	
69	46	NAN	
69.25	46	NAN	
69.5	46	NAN	
69.75	46	NAN	
70	46	NAN	
70.25	46.7	NAN	
70.5	46.7	NAN	
70.75	46.7	NAN	
71	46.7	NAN	
71.25	46.7	NAN	
71.5	46.7	NAN	
71.75	46.7	NAN	
72	46.7	NAN	
72.25	46.7	NAN	
72.5	46.7	NAN	
72.75	46.7	NAN	
73	46.7	NAN	
73.25	46.7	NAN	
73.5	46.7	NAN	
73.75	46.7	NAN	
74	46.7	NAN	
74.25	46.7	NAN	
74.5	46.7	NAN	
74.75	46.7	NAN	
75	46.7	NAN	
75.25	46.7	NAN	
75.5	46.7	NAN	
75.75	46.7	NAN	
76	46.7	NAN	
76.25	46.7	NAN	
76.5	46.7	NAN	
76.75	46.7	NAN	
77	46.7	NAN	
77.25	46.7	NAN	
77.5	46.7	NAN	
77.75	46.7	NAN	
78	46.7	NAN	
78.25	46.7	NAN	
78.5	46.7	NAN	
78.75	46.7	NAN	
79	46.7	NAN	
79.25	46.7	NAN	
79.5	46.7	NAN	
79.75	46.7	NAN	
80	46.7	NAN	
80.25	46.7	NAN	
80.5	46.7	NAN	
80.75	46.7	NAN	
81	46.7	NAN	
81.25	46.7	NAN	
81.5	46.7	NAN	
81.75	46.7	NAN	
82	46.7	NAN	
82.25	46.7	NAN	
82.5	46.7	NAN	
82.75	46.7	NAN	
83	46.7	NAN	
83.25	46.7	NAN	
83.5	46.7	NAN	
83.75	46.7	NAN	
84	46.7	NAN	
84.25	46.7	NAN	
84.5	46.7	NAN	
84.75	46.7	NAN	
85	46.7	NAN	
85.25	46.7	NAN	
85.5	46.7	NAN	
85.75	46.7	NAN	
86	46.7	NAN	
86.25	46	NAN	
86.5	44.1	NAN	
86.75	42.2	NAN	
87	40.9	NAN	
87.25	38.4	NAN	
87.5	35.8	NAN	
87.75	33.2	NAN	
88	30.7	NAN	
88.25	28.1	NAN	
88.5	25.6	NAN	
88.75	23	NAN	
89	20.4	NAN	
89.25	17.9	NAN	
89.5	16	NAN	
89.75	15.3	NAN	
90	13.4	NAN	
90.25	13.4	NAN	
90.5	12.8	NAN	
90.75	13.4	NAN	
91	13.4	NAN	
91.25	14	NAN	
91.5	15.3	NAN	
91.75	16	NAN	
92	18.5	NAN	
92.25	20.4	NAN	
92.5	21.1	NAN	
92.75	23.6	NAN	
93	26.2	NAN	
93.25	28.8	NAN	
93.5	30.7	NAN	
93.75	31.3	NAN	
94	33.9	NAN	
94.25	36.4	NAN	
94.5	36.4	NAN	
94.75	39	NAN	
95	39	NAN	
95.25	40.9	NAN	
95.5	40.9	NAN	
95.75	40.9	NAN	
96	40.9	NAN	
96.25	40.9	NAN	
96.5	39	NAN	
96.75	39	NAN	
97	39	NAN	
97.25	36.4	NAN	
97.5	36.4	NAN	
97.75	33.9	NAN	
98	30.7	NAN	
98.25	28.8	NAN	
98.5	28.1	NAN	
98.75	25.6	NAN	
99	23.6	NAN	
99.25	23	NAN	
99.5	21.1	NAN	
99.75	20.4	NAN	
100	20.4	NAN	
100.25	18.5	NAN	
100.5	18.5	NAN	
100.75	18.5	NAN	
101	18.5	NAN	
101.25	18.5	NAN	
101.5	18.5	NAN	
101.75	20.4	NAN	
102	21.1	NAN	
102.25	21.1	NAN	
102.5	23.6	NAN	
102.75	23.6	NAN	
103	26.2	NAN	
103.25	26.2	NAN	
103.5	28.8	NAN	
103.75	28.8	NAN	
104	31.3	NAN	
104.25	31.3	NAN	
104.5	33.9	NAN	
104.75	33.9	NAN	
105	33.9	NAN	
105.25	33.9	NAN	
105.5	36.4	NAN	
105.75	36.4	NAN	
106	36.4	NAN	
106.25	36.4	NAN	
106.5	36.4	NAN	
106.75	36.4	NAN	
107	36.4	NAN	
107.25	33.9	NAN	
107.5	33.9	NAN	
107.75	33.9	NAN	
108	31.3	NAN	
108.25	31.3	NAN	
108.5	28.1	NAN	
108.75	28.1	NAN	
109	26.2	NAN	
109.25	25.6	NAN	
109.5	25.6	NAN	
109.75	23.6	NAN	
110	23	NAN	
110.25	23	NAN	
110.5	23	NAN	
110.75	23	NAN	
111	23	NAN	
111.25	23	NAN	
111.5	23	NAN	
111.75	23	NAN	
112	23.6	NAN	
112.25	23.6	NAN	
112.5	24.3	NAN	
112.75	25.6	NAN	
113	26.2	NAN	
113.25	26.2	NAN	
113.5	28.8	NAN	
