56.25	28.8	NAN	
56.5	28.1	NAN	
56.75	28.1	NAN	
57	26.2	NAN	
57.25	26.2	NAN	
57.5	26.2	NAN	
57.75	26.2	NAN	
58	26.2	NAN	
58.25	28.1	NAN	
58.5	28.8	NAN	
58.75	28.8	NAN	
59	31.3	NAN	
59.25	31.3	NAN	
59.5	33.9	NAN	
59.75	36.4	NAN	
60	37.1	NAN	
60.25	39	NAN	
60.5	40.9	NAN	
60.75	41.6	NAN	
61	43.5	NAN	
61.25	44.1	NAN	
61.5	46	NAN	
61.75	46.7	NAN	
62	46.7	NAN	
62.25	46.7	NAN	
62.5	46.7	NAN	
62.75	46.7	NAN	
63	46.7	NAN	
63.25	46	NAN	
63.5	46	NAN	
63.75	44.1	NAN	
64	43.5	NAN	
64.25	43.5	NAN	
64.5	40.9	NAN	
64.75	40.9	NAN	
65	39	NAN	
65.25	39	NAN	
65.5	36.4	NAN	
65.75	36.4	NAN	
66	33.9	NAN	
66.25	33.9	NAN	
66.5	33.9	NAN	
66.75	31.3	NAN	
67	30.7	NAN	
67.25	30.7	NAN	
67.5	30.7	NAN	
67.75	30.7	NAN	
68	30.7	NAN	
68.25	31.3	NAN	
68.5	31.3	NAN	
68.75	31.3	NAN	
69	31.3	NAN	
69.25	33.9	NAN	
69.5	33.9	NAN	
69.75	36.4	NAN	
70	37.1	NAN	
70.25	37.1	NAN	
70.5	39	NAN	
70.75	39	NAN	
71	40.9	NAN	
71.25	41.6	NAN	
71.5	41.6	NAN	
71.75	41.6	NAN	
72	43.5	NAN	
72.25	43.5	NAN	
72.5	44.1	NAN	
72.75	44.1	NAN	
73	44.1	NAN	
73.25	43.5	NAN	
73.5	43.5	NAN	
73.75	43.5	NAN	
74	43.5	NAN	
74.25	41.6	NAN	
74.5	40.9	NAN	
74.75	40.9	NAN	
75	39	NAN	
75.25	39	NAN	
75.5	39	NAN	
75.75	37.1	NAN	
76	36.4	NAN	
76.25	35.8	NAN	
76.5	35.8	NAN	
76.75	35.8	NAN	
77	33.9	NAN	
77.25	33.9	NAN	
77.5	33.9	NAN	
77.75	33.9	NAN	
78	33.9	NAN	
78.25	33.9	NAN	
78.5	33.9	NAN	
78.75	33.9	NAN	
79	33.9	NAN	
79.25	33.9	NAN	
79.5	33.9	NAN	
79.75	36.4	NAN	
80	37.1	NAN	
80.25	37.1	NAN	
80.5	37.1	NAN	
80.75	39	NAN	
81	39	NAN	
81.25	39	NAN	
81.5	39	NAN	
81.75	40.9	NAN	
82	40.9	NAN	
82.25	40.9	NAN	
82.5	41.6	NAN	
82.75	41.6	NAN	
